#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-D181000C6ACF2FD-4684C0921670AE2
#datatype	hitsConcise Results
#status	0
#Start time	2021-01-11T15:50:57	Run time	0:00:01:43
#status	success

Query Hittype	PSSM-ID	From	To	E-Value	Bitscore	Accession	Shortname	Incomplete	Superfamily
Q#1 - >1A	specific	371854	654	864	2.25672e-107	328.92	pfam12026	DUF3513	 - 	cl13463
Q#1 - >1A	superfamily	385015	454	610	3.17257e-66	217.852	cl07433	Serine_rich_CAS superfamily	 - 	 - 
Q#1 - >1A	specific	212934	4	71	3.28831e-42	147.88	cd12001	SH3_BCAR1	 - 	cl17036
Q#1 - >1A	superfamily	223021	91	483	2.85005e-05	48.0109	cl33720	PHA03247 superfamily	N	 - 
Q#2 - >1E	specific	371854	672	882	2.03007e-107	329.305	pfam12026	DUF3513	 - 	cl13463
Q#2 - >1E	specific	211406	472	628	2.22476e-66	218.622	cd11552	Serine_rich_BCAR1	 - 	cl07433
Q#2 - >1E	specific	212934	23	89	1.21868e-41	145.954	cd12001	SH3_BCAR1	 - 	cl17036
Q#2 - >1E	superfamily	223021	109	501	5.89777e-05	46.8553	cl33720	PHA03247 superfamily	N	 - 
Q#3 - >eIF4G1e	specific	367217	721	949	5.56928e-64	216.064	pfam02854	MIF4G	 - 	cl02652
Q#3 - >eIF4G1e	specific	211397	1398	1530	9.51686e-58	195.581	cd11559	W2_eIF4G1_like	 - 	cl17013
Q#3 - >eIF4G1e	specific	367215	1202	1314	2.59378e-37	136.245	pfam02847	MA3	 - 	cl02653
Q#3 - >eIF4G1e	superfamily	223021	13	536	5.94964e-09	61.1077	cl33720	PHA03247 superfamily	N	 - 
Q#4 - >eIF4G1f	specific	367217	761	989	5.72571e-64	216.064	pfam02854	MIF4G	 - 	cl02652
Q#4 - >eIF4G1f	specific	211397	1438	1570	6.69676e-58	195.966	cd11559	W2_eIF4G1_like	 - 	cl17013
Q#4 - >eIF4G1f	specific	367215	1242	1354	2.66264e-37	136.245	pfam02847	MA3	 - 	cl02653
Q#4 - >eIF4G1f	superfamily	223021	20	452	1.08733e-07	56.8705	cl33720	PHA03247 superfamily	N	 - 
Q#4 - >eIF4G1f	superfamily	237057	405	573	1.15042e-05	49.8743	cl36108	PRK12323 superfamily	NC	 - 
Q#7 - >Cdc42E6	specific	206664	3	177	2.69321e-134	372.669	cd01874	Cdc42	 - 	cl38936
Q#8 - >Cdc42E7	specific	206664	3	177	1.57303e-134	373.44	cd01874	Cdc42	 - 	cl38936
Q#9 - >lipin-alpha	specific	369773	627	852	3.33188e-143	423.041	pfam08235	LNS2	 - 	cl21460
Q#9 - >lipin-alpha	specific	368000	1	106	3.22798e-63	207.766	pfam04571	Lipin_N	 - 	cl04599
Q#9 - >lipin-alpha	specific	374860	465	555	3.5107e-39	140.093	pfam16876	Lipin_mid	 - 	cl25173
Q#10 - >lipin-beta	specific	369773	660	885	7.00998e-143	423.041	pfam08235	LNS2	 - 	cl21460
Q#10 - >lipin-beta	specific	368000	1	106	2.98229e-63	208.151	pfam04571	Lipin_N	 - 	cl04599
Q#10 - >lipin-beta	specific	374860	498	588	4.37285e-39	139.708	pfam16876	Lipin_mid	 - 	cl25173
Q#10 - >lipin-beta	superfamily	373822	177	369	0.000428098	43.9615	cl25815	Spc7_N superfamily	N	 - 
Q#11 - >B1	specific	276893	115	792	0	1339.36	cd14930	MYSc_Myh14_mammals	 - 	cl22853
Q#11 - >B1	specific	366712	869	1949	0	1306.27	pfam01576	Myosin_tail_1	 - 	cl37647
Q#12 - >B2	specific	366712	869	1949	0	1523.14	pfam01576	Myosin_tail_1	 - 	cl37647
Q#12 - >B2	specific	276952	99	792	0	1440.96	cd14920	MYSc_Myh10	 - 	cl22853
Q#12 - >B2	specific	367160	33	72	1.46626e-08	51.9887	pfam02736	Myosin_N	 - 	cl03686
Q#13 - >RYR3L	specific	368919	4227	4497	8.93975e-116	369.364	pfam06459	RR_TM4-6	 - 	cl24183
Q#13 - >RYR3L	specific	240457	641	792	7.89087e-85	274.96	cd12877	SPRY1_RyR	 - 	cl02614
Q#13 - >RYR3L	specific	366595	440	621	4.27057e-84	275.193	pfam01365	RYDR_ITPR	 - 	cl03182
